time,value
2017-01-01,149181.06
2017-02-01,179752.52
2017-03-01,157737.95
2017-04-01,145219.8
2017-05-01,142914.31
2017-06-01,208952.36
2017-07-01,315739.84
2017-08-01,279066.2
2017-09-01,220707.56
2017-10-01,140128.61
2017-11-01,52686.57
2017-12-01,80879.58
2018-01-01,149195.33
2018-02-01,184992.73
2018-03-01,181208.17
2018-04-01,137722.39
2018-05-01,151210.52
2018-06-01,214536.11
2018-07-01,329772.78
2018-08-01,313440.1
2018-09-01,263600.06
2018-10-01,142588.03
2018-11-01,55671.81
2018-12-01,83017.336
2019-01-01,143449.78
2019-02-01,178740.97
2019-03-01,182731.48
2019-04-01,147971.92
2019-05-01,144929.92
2019-06-01,241935.58
2019-07-01,353174.88
2019-08-01,357609.22
2019-09-01,265659.94
2019-10-01,142549.52
2019-11-01,64276.656
2019-12-01,90931.445
2020-01-01,150800.28
2020-02-01,191280.4
2020-03-01,75190.19
2020-04-01,10068.06
2020-05-01,27015.82
2020-06-01,71343.11
2020-07-01,278856.84
2020-08-01,262670.28
2020-09-01,205979.62
2020-10-01,82090.38
2020-11-01,10045.896
2020-12-01,23428.32
2021-01-01,18690.48
2021-02-01,36714.105
2021-03-01,39950.754
2021-04-01,72033.086
2021-05-01,74469.51
2021-06-01,125019
2021-07-01,273857.1
2021-08-01,298144.4
2021-09-01,222429.44
2021-10-01,145824.81
2021-11-01,49959.207
2021-12-01,69649.06
2022-01-01,72019.14
2022-02-01,122631
2022-03-01,149873.02
2022-04-01,146977.83
2022-05-01,143608.58
2022-06-01,233025.03
2022-07-01,338083.12
2022-08-01,295432.6
2022-09-01,249725.06
2022-10-01,144373.62
2022-11-01,60450.15
2022-12-01,84091.89
2023-01-01,138197.62
2023-02-01,164186.52
2023-03-01,156763.47
2023-04-01,150401.83
2023-05-01,160829.89
2023-06-01,226716.42
2023-07-01,340344
2023-08-01,297101.47
2023-09-01,282759.47
2023-10-01,153216.03
2023-11-01,56622.07
2023-12-01,85227.74
2024-01-01,151808.48
2024-02-01,171204
2024-03-01,174134.05
2024-04-01,132467.44
2024-05-01,165297.53
2024-06-01,212329.98
2024-07-01,337333.4
2024-08-01,338075.47
2024-09-01,243102
2024-10-01,131700.8
2024-11-01,64808.547
2024-12-01,82318.93
2025-01-01,154838.11
2025-02-01,164489.02
2025-03-01,168220.69
2025-04-01,144313.66
2025-05-01,148500.39
2025-06-01,241942.44
2025-07-01,240830.89
2025-08-01,243310.66
2025-09-01,210488.5
2025-10-01,135048.56
2025-11-01,61852.09
2025-12-01,88806.75
2026-01-01,154449.14
2026-02-01,160951.4
2026-03-01,156659.34
