time,value
2017-01-01,299811.16
2017-02-01,377817.2
2017-03-01,323721.47
2017-04-01,220358.72
2017-05-01,92641.695
2017-06-01,166655.19
2017-07-01,384823.06
2017-08-01,527155.75
2017-09-01,177706.84
2017-10-01,96396.805
2017-11-01,32870.617
2017-12-01,203498.28
2018-01-01,318849
2018-02-01,393159.44
2018-03-01,497222.2
2018-04-01,165605.58
2018-05-01,117686.03
2018-06-01,172301.89
2018-07-01,419293.94
2018-08-01,526628.5
2018-09-01,182920.5
2018-10-01,104943.19
2018-11-01,32529.441
2018-12-01,229907.58
2019-01-01,285262.7
2019-02-01,305365.2
2019-03-01,363849.38
2019-04-01,200471.84
2019-05-01,105472.83
2019-06-01,220341.61
2019-07-01,368436.72
2019-08-01,512353.6
2019-09-01,186528.47
2019-10-01,115049.15
2019-11-01,37910.36
2019-12-01,236705.39
2020-01-01,265977.47
2020-02-01,393891.72
2020-03-01,154487
2020-04-01,6359.4526
2020-05-01,6815.987
2020-06-01,39490.098
2020-07-01,211615.89
2020-08-01,352847.53
2020-09-01,116301.99
2020-10-01,52810.953
2020-11-01,16087.451
2020-12-01,80803.195
2021-01-01,90315
2021-02-01,90252.69
2021-03-01,144815.11
2021-04-01,66553.195
2021-05-01,43652.93
2021-06-01,64220.832
2021-07-01,229121.11
2021-08-01,413711.4
2021-09-01,157020.05
2021-10-01,96597.85
2021-11-01,41849.555
2021-12-01,190123.44
2022-01-01,273029.16
2022-02-01,260305.14
2022-03-01,307267.47
2022-04-01,203430.03
2022-05-01,85384.945
2022-06-01,167231.81
2022-07-01,344267.5
2022-08-01,466970.56
2022-09-01,168034.95
2022-10-01,110426.984
2022-11-01,49145.8
2022-12-01,228099.62
2023-01-01,272026.03
2023-02-01,271306.28
2023-03-01,284650.3
2023-04-01,201601.12
2023-05-01,132318.98
2023-06-01,214366.22
2023-07-01,351022
2023-08-01,450099.53
2023-09-01,190321
2023-10-01,114001.766
2023-11-01,44412.086
2023-12-01,195903.95
2024-01-01,279675.22
2024-02-01,292631.16
2024-03-01,369289.16
2024-04-01,125100.31
2024-05-01,154222.77
2024-06-01,214488.22
2024-07-01,349008.38
2024-08-01,498856.06
2024-09-01,190244.94
2024-10-01,116879.9
2024-11-01,44626.89
2024-12-01,236629.97
2025-01-01,299723.8
2025-02-01,322894.8
2025-03-01,326694.75
2025-04-01,181452.02
2025-05-01,147182.48
2025-06-01,241950.61
2025-07-01,385025.84
2025-08-01,536221.25
2025-09-01,214828.19
2025-10-01,133653
2025-11-01,50232.57
2025-12-01,278920.34
2026-01-01,306900.25
2026-02-01,319262.03
2026-03-01,290998.88
