time,value
2017-01-01,334357.25
2017-02-01,470703.3
2017-03-01,329999.8
2017-04-01,294297.78
2017-05-01,264925.25
2017-06-01,404134.06
2017-07-01,696196.7
2017-08-01,509483.75
2017-09-01,407598.94
2017-10-01,340641.44
2017-11-01,80956.18
2017-12-01,150374.31
2018-01-01,341662.44
2018-02-01,481623.38
2018-03-01,343918.06
2018-04-01,266571.44
2018-05-01,282086.03
2018-06-01,399893.34
2018-07-01,707888.5
2018-08-01,522440.84
2018-09-01,463310.88
2018-10-01,343278.75
2018-11-01,84040.54
2018-12-01,146462.22
2019-01-01,346140.78
2019-02-01,468795.1
2019-03-01,350069.25
2019-04-01,302732.34
2019-05-01,265271.9
2019-06-01,452980.88
2019-07-01,730035.94
2019-08-01,574495.56
2019-09-01,475021.5
2019-10-01,334665.6
2019-11-01,103240.18
2019-12-01,163132.66
2020-01-01,354975
2020-02-01,489972.38
2020-03-01,188737.27
2020-04-01,26677.07
2020-05-01,54130.56
2020-06-01,107266.75
2020-07-01,610411.6
2020-08-01,445377.75
2020-09-01,392950.84
2020-10-01,248501.02
2020-11-01,30463.309
2020-12-01,50579.008
2021-01-01,47086.98
2021-02-01,91817
2021-03-01,73007.59
2021-04-01,145079.17
2021-05-01,159269.89
2021-06-01,241026.19
2021-07-01,674952.6
2021-08-01,532307.6
2021-09-01,455225.3
2021-10-01,387092.03
2021-11-01,86152.67
2021-12-01,129018.55
2022-01-01,143854.6
2022-02-01,285176.84
2022-03-01,317523.75
2022-04-01,316556.75
2022-05-01,306848.56
2022-06-01,463876
2022-07-01,677320.9
2022-08-01,516446.84
2022-09-01,458042.03
2022-10-01,349005.38
2022-11-01,92105.414
2022-12-01,151672.19
2023-01-01,315271.97
2023-02-01,443586.5
2023-03-01,331893.3
2023-04-01,288866.47
2023-05-01,304771.1
2023-06-01,412276.9
2023-07-01,711846.3
2023-08-01,501802.66
2023-09-01,490621.2
2023-10-01,355646.9
2023-11-01,80372.02
2023-12-01,150345.92
2024-01-01,342067.34
2024-02-01,447377.25
2024-03-01,337117.7
2024-04-01,265503.75
2024-05-01,318303.78
2024-06-01,409043.88
2024-07-01,704473.25
2024-08-01,535141.4
2024-09-01,457997.47
2024-10-01,314586.4
2024-11-01,91623.92
2024-12-01,149528.1
2025-01-01,349933.34
2025-02-01,435274.56
2025-03-01,320508.7
2025-04-01,284757.47
2025-05-01,288707.7
2025-06-01,454557.47
2025-07-01,672400.5
2025-08-01,518443.5
2025-09-01,464670
2025-10-01,313083.75
2025-11-01,95306.734
2025-12-01,159415.1
2026-01-01,379928.94
2026-02-01,428675.72
2026-03-01,298167.84
