time,value
2017-01-01,34996.395
2017-02-01,59019.234
2017-03-01,37523.36
2017-04-01,34801.26
2017-05-01,18548.654
2017-06-01,28667.96
2017-07-01,60457.945
2017-08-01,62721.56
2017-09-01,25381.986
2017-10-01,16220.626
2017-11-01,5141.082
2017-12-01,36809.12
2018-01-01,40341.57
2018-02-01,60795.258
2018-03-01,71834.14
2018-04-01,20847.236
2018-05-01,24749.143
2018-06-01,33555.336
2018-07-01,62315.027
2018-08-01,65516.355
2018-09-01,28274.666
2018-10-01,19031.111
2018-11-01,6422.9365
2018-12-01,41842.523
2019-01-01,35194.395
2019-02-01,45977.973
2019-03-01,52555.99
2019-04-01,31349.61
2019-05-01,21694.783
2019-06-01,41378.418
2019-07-01,58157.043
2019-08-01,67945.4
2019-09-01,28355.936
2019-10-01,20422.176
2019-11-01,7506.138
2019-12-01,41862.05
2020-01-01,35933.492
2020-02-01,63425.418
2020-03-01,16023.775
2020-04-01,524.2428
2020-05-01,1094.1448
2020-06-01,7326.282
2020-07-01,28873.066
2020-08-01,43554.004
2020-09-01,14351.376
2020-10-01,7552.176
2020-11-01,2723.229
2020-12-01,12073.378
2021-01-01,13345.998
2021-02-01,12332.973
2021-03-01,21912.674
2021-04-01,8594.35
2021-05-01,7620.3345
2021-06-01,8839.192
2021-07-01,33495.766
2021-08-01,47867.207
2021-09-01,18259.451
2021-10-01,16489.89
2021-11-01,8220.373
2021-12-01,29158.125
2022-01-01,38756.715
2022-02-01,42827.766
2022-03-01,35937.7
2022-04-01,31146.256
2022-05-01,18408.943
2022-06-01,32153.45
2022-07-01,70630.38
2022-08-01,78558.336
2022-09-01,37664.746
2022-10-01,23607.607
2022-11-01,10644.815
2022-12-01,40911.973
2023-01-01,35824.594
2023-02-01,43972.043
2023-03-01,38195.285
2023-04-01,36982.008
2023-05-01,29761.158
2023-06-01,41436.812
2023-07-01,59460.42
2023-08-01,63244.46
2023-09-01,35028.156
2023-10-01,28720.234
2023-11-01,11501.624
2023-12-01,46387.418
2024-01-01,38865.5
2024-02-01,45302.832
2024-03-01,59266.805
2024-04-01,23728.734
2024-05-01,35470.043
2024-06-01,43610.83
2024-07-01,62001.586
2024-08-01,74335.16
2024-09-01,32992.785
2024-10-01,25092.736
2024-11-01,11011.642
2024-12-01,43062.86
2025-01-01,44992.383
2025-02-01,50196.395
2025-03-01,51868.582
2025-04-01,35535.29
2025-05-01,36996.566
2025-06-01,54136.08
2025-07-01,64721.11
2025-08-01,77236.57
2025-09-01,37573.977
2025-10-01,26733.918
2025-11-01,10815.472
2025-12-01,48442.867
2026-01-01,49364.555
2026-02-01,49029.344
2026-03-01,44019.074
