time,value
2017-01-01,115928.27
2017-02-01,143956.1
2017-03-01,124662.31
2017-04-01,109207.58
2017-05-01,114392.016
2017-06-01,169681.38
2017-07-01,243476.52
2017-08-01,212617.58
2017-09-01,185084.88
2017-10-01,117750.54
2017-11-01,42175.344
2017-12-01,62243.812
2018-01-01,122567.695
2018-02-01,153692.16
2018-03-01,141412.12
2018-04-01,106862.03
2018-05-01,121978.27
2018-06-01,179103.19
2018-07-01,260244.78
2018-08-01,244012.3
2018-09-01,225720.7
2018-10-01,122419.64
2018-11-01,45048.227
2018-12-01,62417.043
2019-01-01,119704.93
2019-02-01,150003.14
2019-03-01,143451.44
2019-04-01,114559.664
2019-05-01,117730.3
2019-06-01,199853.67
2019-07-01,276661.78
2019-08-01,280800.16
2019-09-01,225855.23
2019-10-01,119507.055
2019-11-01,54287.457
2019-12-01,69877.945
2020-01-01,124022.71
2020-02-01,157262.34
2020-03-01,62913.363
2020-04-01,6751.529
2020-05-01,25901.139
2020-06-01,66757.055
2020-07-01,249887.95
2020-08-01,227100.11
2020-09-01,190754.02
2020-10-01,78430.664
2020-11-01,9196.06
2020-12-01,21827.646
2021-01-01,17025.139
2021-02-01,34194.676
2021-03-01,34875.656
2021-04-01,66876.13
2021-05-01,71306.766
2021-06-01,117196.984
2021-07-01,241333.97
2021-08-01,246175.33
2021-09-01,199673.16
2021-10-01,136109.2
2021-11-01,44309.113
2021-12-01,59649.68
2022-01-01,57511.027
2022-02-01,103286.49
2022-03-01,121288.92
2022-04-01,118588.59
2022-05-01,124369.05
2022-06-01,200977.06
2022-07-01,272243.88
2022-08-01,229460.48
2022-09-01,215490.56
2022-10-01,124868.17
2022-11-01,50108.01
2022-12-01,66012.414
2023-01-01,111334.07
2023-02-01,133276
2023-03-01,124051.17
2023-04-01,113588
2023-05-01,132044.12
2023-06-01,183214.7
2023-07-01,263683.38
2023-08-01,223183.1
2023-09-01,238021.12
2023-10-01,128686.79
2023-11-01,45194.906
2023-12-01,63717.26
2024-01-01,123125.625
2024-02-01,140558.4
2024-03-01,134625.28
2024-04-01,104411.88
2024-05-01,134571.11
2024-06-01,174800
2024-07-01,258379.7
2024-08-01,255454.78
2024-09-01,205322.1
2024-10-01,109086.016
2024-11-01,54346.527
2024-12-01,60447.812
2025-01-01,126380.58
2025-02-01,136505.02
2025-03-01,125433.62
2025-04-01,106197.836
2025-05-01,119140.48
2025-06-01,197159.47
2025-07-01,180864.3
2025-08-01,180698.23
2025-09-01,175785.33
2025-10-01,111140.36
2025-11-01,51518.676
2025-12-01,63961.75
2026-01-01,128184.08
2026-02-01,130152.18
2026-03-01,119192.48
