time,value
2017-01-01,23186.88
2017-02-01,25853.39
2017-03-01,22536.441
2017-04-01,18431.586
2017-05-01,9289.436
2017-06-01,15329.839
2017-07-01,27855.72
2017-08-01,31664.38
2017-09-01,14881.414
2017-10-01,10125.628
2017-11-01,5839.8037
2017-12-01,17251.008
2018-01-01,23332.727
2018-02-01,26842.857
2018-03-01,33565.492
2018-04-01,13864.621
2018-05-01,10302.038
2018-06-01,15255.46
2018-07-01,27473.898
2018-08-01,29915.121
2018-09-01,15113.612
2018-10-01,11505.293
2018-11-01,4362.629
2018-12-01,16846.826
2019-01-01,21771.307
2019-02-01,23773.605
2019-03-01,25612.78
2019-04-01,17597.967
2019-05-01,9788.249
2019-06-01,17655.102
2019-07-01,25201.87
2019-08-01,29248.074
2019-09-01,16375.906
2019-10-01,12175.852
2019-11-01,4953.294
2019-12-01,17784.986
2020-01-01,18460.396
2020-02-01,25629.254
2020-03-01,12900.546
2020-04-01,1690.409
2020-05-01,2459.1807
2020-06-01,5938.7256
2020-07-01,19313.88
2020-08-01,24498.938
2020-09-01,10996.174
2020-10-01,8022.414
2020-11-01,5082.037
2020-12-01,9798.722
2021-01-01,9430.658
2021-02-01,10142.653
2021-03-01,12461.712
2021-04-01,7282.2827
2021-05-01,6293.807
2021-06-01,6933.875
2021-07-01,16987.898
2021-08-01,23915.256
2021-09-01,13076.823
2021-10-01,11161.966
2021-11-01,5427.2363
2021-12-01,17534.055
2022-01-01,20240.486
2022-02-01,17972.549
2022-03-01,21532.059
2022-04-01,16690.396
2022-05-01,7718.1943
2022-06-01,12011.916
2022-07-01,22482.834
2022-08-01,24303.406
2022-09-01,11594.313
2022-10-01,10224.26
2022-11-01,7281.475
2022-12-01,15996.326
2023-01-01,19328.17
2023-02-01,16011.85
2023-03-01,17283.064
2023-04-01,12682.132
2023-05-01,8786.053
2023-06-01,12642.831
2023-07-01,17991.873
2023-08-01,20422.361
2023-09-01,10879.797
2023-10-01,8221.051
2023-11-01,4802.3364
2023-12-01,13141.915
2024-01-01,23386.262
2024-02-01,23969.248
2024-03-01,25211.309
2024-04-01,11829.982
2024-05-01,11083.566
2024-06-01,13114.149
2024-07-01,19740.174
2024-08-01,25209.975
2024-09-01,12421.41
2024-10-01,8306.313
2024-11-01,4359.428
2024-12-01,16633.684
2025-01-01,22121.008
2025-02-01,22882.213
2025-03-01,21482.914
2025-04-01,13574.943
2025-05-01,10438.333
2025-06-01,13662.37
2025-07-01,19205.145
2025-08-01,24702.074
2025-09-01,12433.362
2025-10-01,10378.698
2025-11-01,4966.2183
2025-12-01,18046.055
2026-01-01,21931.193
2026-02-01,21728.969
2026-03-01,21028.414
