time,value
2017-01-01,115895.55
2017-02-01,229715.58
2017-03-01,96844.4
2017-04-01,70977.56
2017-05-01,40174.38
2017-06-01,57615.88
2017-07-01,139604.94
2017-08-01,108449.96
2017-09-01,60957.453
2017-10-01,54776.93
2017-11-01,12903.719
2017-12-01,94699.52
2018-01-01,120928.44
2018-02-01,229399.48
2018-03-01,143598.17
2018-04-01,48484.617
2018-05-01,51659.707
2018-06-01,62521.01
2018-07-01,139648.98
2018-08-01,111924.81
2018-09-01,70139.1
2018-10-01,55534.035
2018-11-01,14520.838
2018-12-01,98087.21
2019-01-01,111782.42
2019-02-01,194855.5
2019-03-01,126950.71
2019-04-01,65628.875
2019-05-01,43544.97
2019-06-01,74779.49
2019-07-01,135223.66
2019-08-01,122092.1
2019-09-01,65954.484
2019-10-01,60362.06
2019-11-01,16642.688
2019-12-01,103314.45
2020-01-01,126396.01
2020-02-01,255500.14
2020-03-01,46384.023
2020-04-01,5946.9526
2020-05-01,30653.709
2020-06-01,55079.438
2020-07-01,165347.92
2020-08-01,126646.06
2020-09-01,82341.37
2020-10-01,80035.93
2020-11-01,20152.176
2020-12-01,90152.555
2021-01-01,116227.445
2021-02-01,182396.83
2021-03-01,80077.125
2021-04-01,80570.42
2021-05-01,67808.72
2021-06-01,59887.152
2021-07-01,166527.12
2021-08-01,117100.77
2021-09-01,69274.445
2021-10-01,101423.26
2021-11-01,21361.58
2021-12-01,95615.836
2022-01-01,154695.62
2022-02-01,220906.34
2022-03-01,106194.695
2022-04-01,79138.19
2022-05-01,50816.09
2022-06-01,71123.84
2022-07-01,182694.77
2022-08-01,147269.9
2022-09-01,81834.625
2022-10-01,76244.89
2022-11-01,21517.22
2022-12-01,98026.78
2023-01-01,140723.4
2023-02-01,214826.5
2023-03-01,94617.57
2023-04-01,81260.3
2023-05-01,64297.145
2023-06-01,77336.945
2023-07-01,146069.95
2023-08-01,112025.3
2023-09-01,76674.086
2023-10-01,77706.125
2023-11-01,22464.285
2023-12-01,109349.12
2024-01-01,129736.85
2024-02-01,195524.95
2024-03-01,119548.6
2024-04-01,53127.36
2024-05-01,69372.12
2024-06-01,78375.14
2024-07-01,139004.27
2024-08-01,128839.56
2024-09-01,74771.49
2024-10-01,66977.78
2024-11-01,22202.705
2024-12-01,98666.766
2025-01-01,138934.48
2025-02-01,197059.98
2025-03-01,122945.14
2025-04-01,73789.586
2025-05-01,66345.234
2025-06-01,94731.78
2025-07-01,142768.89
2025-08-01,130041.4
2025-09-01,76597.88
2025-10-01,68974.414
2025-11-01,21618.883
2025-12-01,109658.19
2026-01-01,161245.8
2026-02-01,169451.77
2026-03-01,85792.78
