time,value
2017-01-01,114151.58
2017-02-01,118486.16
2017-03-01,113004.56
2017-04-01,92533.41
2017-05-01,58403.082
2017-06-01,81288.15
2017-07-01,174273.77
2017-08-01,167793.38
2017-09-01,72120.98
2017-10-01,50695.51
2017-11-01,22513.719
2017-12-01,48644.89
2018-01-01,87109.76
2018-02-01,119306.695
2018-03-01,119253.87
2018-04-01,71190.35
2018-05-01,64529.777
2018-06-01,72019.9
2018-07-01,161792.19
2018-08-01,166390.9
2018-09-01,69579.945
2018-10-01,45149.96
2018-11-01,22467.271
2018-12-01,58391.305
2019-01-01,86578.67
2019-02-01,97695.92
2019-03-01,128394.734
2019-04-01,79901.945
2019-05-01,57359.098
2019-06-01,83691.59
2019-07-01,184960.42
2019-08-01,169373.88
2019-09-01,72144.94
2019-10-01,48479.445
2019-11-01,20708.186
2019-12-01,62122.484
2020-01-01,91260.49
2020-02-01,126538.29
2020-03-01,39738.566
2020-04-01,5973.837
2020-05-01,1750.4557
2020-06-01,7404.0264
2020-07-01,58830.99
2020-08-01,73457.12
2020-09-01,25992.553
2020-10-01,10208.358
2020-11-01,3398.4536
2020-12-01,5063.22
2021-01-01,4964.5566
2021-02-01,7381.952
2021-03-01,14341.823
2021-04-01,10796.722
2021-05-01,6838.2666
2021-06-01,15113.7705
2021-07-01,66846.94
2021-08-01,108765.53
2021-09-01,42124.4
2021-10-01,19656.92
2021-11-01,11386.462
2021-12-01,29393.543
2022-01-01,50329.47
2022-02-01,65919.94
2022-03-01,88078.19
2022-04-01,68080.164
2022-05-01,38403.04
2022-06-01,60018.48
2022-07-01,134455.73
2022-08-01,144546.95
2022-09-01,60599.066
2022-10-01,42018.215
2022-11-01,23247.268
2022-12-01,56243.34
2023-01-01,87903.58
2023-02-01,105608.27
2023-03-01,93694.86
2023-04-01,84698.84
2023-05-01,58096.53
2023-06-01,83583.195
2023-07-01,161195.97
2023-08-01,154484.14
2023-09-01,71217.78
2023-10-01,51786.7
2023-11-01,25728.21
2023-12-01,59940.617
2024-01-01,90180.79
2024-02-01,103204.71
2024-03-01,116305.51
2024-04-01,53446.297
2024-05-01,62491.01
2024-06-01,75569.73
2024-07-01,168153.92
2024-08-01,173025.62
2024-09-01,68449.35
2024-10-01,50074.555
2024-11-01,22638.51
2024-12-01,62067.715
2025-01-01,99254.87
2025-02-01,99616.4
2025-03-01,124436.32
2025-04-01,91764.5
2025-05-01,60411.09
2025-06-01,96838.77
2025-07-01,180423.62
2025-08-01,183179.9
2025-09-01,79817.75
2025-10-01,52802.387
2025-11-01,23198.68
2025-12-01,75069.73
2026-01-01,90686.77
2026-02-01,114345.07
2026-03-01,102893.93
