time,value
2017-01-01,5243.187
2017-02-01,7442.609
2017-03-01,5046.5845
2017-04-01,4085.9202
2017-05-01,3033.7249
2017-06-01,3455.1274
2017-07-01,5934.8965
2017-08-01,5441.8486
2017-09-01,3502.3503
2017-10-01,3544.484
2017-11-01,1784.9554
2017-12-01,4522.143
2018-01-01,5437.856
2018-02-01,7445.417
2018-03-01,6852.543
2018-04-01,3549.798
2018-05-01,4299.109
2018-06-01,4856.018
2018-07-01,6055.929
2018-08-01,5925.2236
2018-09-01,4292.074
2018-10-01,3870.7046
2018-11-01,2135.2
2018-12-01,4661.2637
2019-01-01,5275.1665
2019-02-01,7079.1235
2019-03-01,6438.71
2019-04-01,3840.3418
2019-05-01,3234.5295
2019-06-01,4325.1274
2019-07-01,6154.5337
2019-08-01,5892.8975
2019-09-01,3744.5237
2019-10-01,4219.6777
2019-11-01,1669.5226
2019-12-01,6019.265
2020-01-01,5803.5747
2020-02-01,9444.946
2020-03-01,2831.108
2020-04-01,1196.4705
2020-05-01,2366.1968
2020-06-01,3623.8562
2020-07-01,6931.849
2020-08-01,6002.871
2020-09-01,4593.777
2020-10-01,4741.6035
2020-11-01,2516.53
2020-12-01,4838.319
2021-01-01,5464.6333
2021-02-01,6099.491
2021-03-01,3964.9412
2021-04-01,4026.7573
2021-05-01,3416.725
2021-06-01,3180.4854
2021-07-01,6320.662
2021-08-01,4987.588
2021-09-01,3872.2712
2021-10-01,5808.7607
2021-11-01,2178.3884
2021-12-01,4377.847
2022-01-01,5891.572
2022-02-01,6290.676
2022-03-01,4587.7256
2022-04-01,4095.8599
2022-05-01,3354.8516
2022-06-01,4299.14
2022-07-01,12285.87
2022-08-01,11863.006
2022-09-01,7623.3057
2022-10-01,4720.658
2022-11-01,2966.1428
2022-12-01,4594.953
2023-01-01,4859.2036
2023-02-01,5397.227
2023-03-01,3818.677
2023-04-01,3648.826
2023-05-01,2997.776
2023-06-01,3618.6626
2023-07-01,4542.5703
2023-08-01,4522.313
2023-09-01,3415.794
2023-10-01,3095.3406
2023-11-01,2012.1754
2023-12-01,3661.429
2024-01-01,5600.5566
2024-02-01,6531.911
2024-03-01,5368.819
2024-04-01,3657.7744
2024-05-01,4163.977
2024-06-01,4022.7817
2024-07-01,5611.795
2024-08-01,5161.0044
2024-09-01,3961.806
2024-10-01,3977.2783
2024-11-01,1890.6583
2024-12-01,4071.516
2025-01-01,5781.751
2025-02-01,6296.573
2025-03-01,4879.392
2025-04-01,4120.966
2025-05-01,4004.9746
2025-06-01,4592.7266
2025-07-01,5434.99
2025-08-01,5143.7334
2025-09-01,4151.63
2025-10-01,3906.6472
2025-11-01,1807.6702
2025-12-01,4512.007
2026-01-01,6250.592
2026-02-01,5561.4043
2026-03-01,4374.791
