time,value
2017-01-01,3093.2898
2017-02-01,3925.6028
2017-03-01,2947.431
2017-04-01,2774.4592
2017-05-01,1943.2522
2017-06-01,2463.37
2017-07-01,4344.1675
2017-08-01,4164.0205
2017-09-01,2267.2983
2017-10-01,1700.6556
2017-11-01,860.23193
2017-12-01,2923.3528
2018-01-01,3345.5864
2018-02-01,4203.771
2018-03-01,5075.502
2018-04-01,2417.4028
2018-05-01,3462.6143
2018-06-01,3981.7874
2018-07-01,4378.868
2018-08-01,4705.8833
2018-09-01,2553.0793
2018-10-01,2401.0146
2018-11-01,1227.4988
2018-12-01,3168.081
2019-01-01,3108.3257
2019-02-01,3677.01
2019-03-01,4183.478
2019-04-01,2766.8286
2019-05-01,2367.9949
2019-06-01,3639.5608
2019-07-01,4241.9844
2019-08-01,4397.039
2019-09-01,2752.3264
2019-10-01,2277.238
2019-11-01,1139.9435
2019-12-01,3145.7441
2020-01-01,3026.182
2020-02-01,4193.8687
2020-03-01,1473.0278
2020-04-01,176.77814
2020-05-01,365.41827
2020-06-01,1360.4937
2020-07-01,2647.8594
2020-08-01,3059.2217
2020-09-01,1624.3635
2020-10-01,1175.4957
2020-11-01,912.8684
2020-12-01,1491.7611
2021-01-01,1456.919
2021-02-01,1446.1886
2021-03-01,1960.8274
2021-04-01,1232.518
2021-05-01,1001.32806
2021-06-01,1010.7989
2021-07-01,2625.3743
2021-08-01,3062.087
2021-09-01,1667.5374
2021-10-01,1861.6696
2021-11-01,1194.0238
2021-12-01,2632.9592
2022-01-01,3245.8293
2022-02-01,3023.599
2022-03-01,2818.7852
2022-04-01,2532.3262
2022-05-01,2272.5505
2022-06-01,3196.6038
2022-07-01,7207.9683
2022-08-01,7722.4614
2022-09-01,5587.462
2022-10-01,2748.8066
2022-11-01,2177.462
2022-12-01,2884.3364
2023-01-01,2701.0671
2023-02-01,2663.1714
2023-03-01,2475.2659
2023-04-01,2311.5054
2023-05-01,2163.0803
2023-06-01,2785.5989
2023-07-01,3100.791
2023-08-01,3516.145
2023-09-01,2403.2346
2023-10-01,1951.4202
2023-11-01,1378.4894
2023-12-01,2508.3271
2024-01-01,3234.3416
2024-02-01,3434.7983
2024-03-01,3753.0042
2024-04-01,2033.8795
2024-05-01,2522.231
2024-06-01,2882.3628
2024-07-01,3454.6218
2024-08-01,3680.9163
2024-09-01,2442.1602
2024-10-01,2156.1155
2024-11-01,1182.9288
2024-12-01,2714.7014
2025-01-01,3537.4272
2025-02-01,3419.167
2025-03-01,3351.5786
2025-04-01,2618.3662
2025-05-01,3321.3303
2025-06-01,3738.7607
2025-07-01,3534.2393
2025-08-01,3733.9482
2025-09-01,2920.7844
2025-10-01,2224.8792
2025-11-01,1088.9117
2025-12-01,3166.1384
2026-01-01,3640.934
2026-02-01,3344.7893
2026-03-01,3236.5405
