time,value
2017-01-01,4154.769
2017-02-01,3793.5374
2017-03-01,3930.8032
2017-04-01,3975.77
2017-05-01,4515.6655
2017-06-01,5052.349
2017-07-01,7799.018
2017-08-01,7418.4556
2017-09-01,4932.216
2017-10-01,3949.9785
2017-11-01,1844.8575
2017-12-01,1765.4711
2018-01-01,2456.863
2018-02-01,2804.2205
2018-03-01,5559.9087
2018-04-01,3123.509
2018-05-01,3230.3901
2018-06-01,3795.562
2018-07-01,5737.7266
2018-08-01,6448.3447
2018-09-01,3754.2175
2018-10-01,2203.788
2018-11-01,1136.2614
2018-12-01,1820.375
2019-01-01,2461.323
2019-02-01,3279.0608
2019-03-01,3598.9414
2019-04-01,2897.986
2019-05-01,2999.6306
2019-06-01,4177.893
2019-07-01,6410.497
2019-08-01,6722.361
2019-09-01,5089.9536
2019-10-01,2623.242
2019-11-01,673.67017
2019-12-01,1846.8615
2020-01-01,2608.3096
2020-02-01,3008.2307
2020-03-01,1483.027
2020-04-01,719.5888
2020-05-01,351.389
2020-06-01,638.1936
2020-07-01,2771.06
2020-08-01,3052.4312
2020-09-01,1444.2908
2020-10-01,509.92038
2020-11-01,221.75655
2020-12-01,250.84042
2021-01-01,439.79303
2021-02-01,649.9385
2021-03-01,691.7952
2021-04-01,755.8166
2021-05-01,460.55093
2021-06-01,902.95776
2021-07-01,3057.5544
2021-08-01,4697.4956
2021-09-01,2378.2083
2021-10-01,1543.9005
2021-11-01,884.01025
2021-12-01,1568.1897
2022-01-01,3127.842
2022-02-01,2529.62
2022-03-01,3806.176
2022-04-01,2883.9695
2022-05-01,3130.4163
2022-06-01,4424.2354
2022-07-01,6148.0537
2022-08-01,6444.033
2022-09-01,5094.3584
2022-10-01,4360.8774
2022-11-01,2342.5056
2022-12-01,2519.9792
2023-01-01,3774.7449
2023-02-01,3695.049
2023-03-01,4662.3306
2023-04-01,3391.0696
2023-05-01,4042.196
2023-06-01,4601.976
2023-07-01,5961.4683
2023-08-01,5851.3193
2023-09-01,4499.7383
2023-10-01,3223.457
2023-11-01,1608.9963
2023-12-01,2168.7083
2024-01-01,2827.4883
2024-02-01,2755.6218
2024-03-01,3364.5525
2024-04-01,2456.0908
2024-05-01,3763.2239
2024-06-01,4020.2678
2024-07-01,7414.4517
2024-08-01,8191.8984
2024-09-01,3834.0408
2024-10-01,2571.4412
2024-11-01,1242.2397
2024-12-01,1930.1199
2025-01-01,2791.9746
2025-02-01,2926.849
2025-03-01,3529.5955
2025-04-01,3534.7195
2025-05-01,3241.5474
2025-06-01,3706.9048
2025-07-01,4947.7026
2025-08-01,5453.2886
2025-09-01,3890.675
2025-10-01,2732.856
2025-11-01,1284.3519
2025-12-01,2246.324
2026-01-01,3030.7192
2026-02-01,3530.2117
2026-03-01,3700.637
