time,value
2017-01-01,7.310404
2017-02-01,6.9427714
2017-03-01,8.3161335
2017-04-01,5.912955
2017-05-01,4.850196
2017-06-01,5.5801506
2017-07-01,6.535685
2017-08-01,8.668974
2017-09-01,6.1005983
2017-10-01,6.7732368
2017-11-01,5.1087823
2017-12-01,5.00977
2018-01-01,7.2260585
2018-02-01,6.9660177
2018-03-01,6.4883595
2018-04-01,7.3685956
2018-05-01,4.7572503
2018-06-01,5.418936
2018-07-01,6.8156886
2018-08-01,8.063373
2018-09-01,5.580415
2018-10-01,6.4263387
2018-11-01,4.7050676
2018-12-01,5.2407775
2019-01-01,7.4508257
2019-02-01,6.8769674
2019-03-01,6.814582
2019-04-01,5.968745
2019-05-01,4.7352085
2019-06-01,5.3130426
2019-07-01,6.6591196
2019-08-01,7.4998736
2019-09-01,5.998346
2019-10-01,6.35374
2019-11-01,4.826153
2019-12-01,5.3086295
2020-01-01,6.9141526
2020-02-01,6.340872
2020-03-01,9.635283
2020-04-01,7.4601626
2020-05-01,4.169748
2020-06-01,5.6103
2020-07-01,7.0222497
2020-08-01,7.3330054
2020-09-01,6.4623017
2020-10-01,6.1755147
2020-11-01,4.946521
2020-12-01,5.7838974
2021-01-01,5.525814
2021-02-01,7.082048
2021-03-01,7.418699
2021-04-01,5.579269
2021-05-01,5.006802
2021-06-01,6.448468
2021-07-01,6.725915
2021-08-01,8.738869
2021-09-01,7.0250425
2021-10-01,5.5500007
2021-11-01,4.82958
2021-12-01,5.781474
2022-01-01,5.8443565
2022-02-01,6.735585
2022-03-01,8.118134
2022-04-01,5.776869
2022-05-01,4.8553305
2022-06-01,5.3529935
2022-07-01,5.237043
2022-08-01,6.2115216
2022-09-01,4.9297595
2022-10-01,5.514553
2022-11-01,4.5774903
2022-12-01,5.300402
2023-01-01,6.4932237
2023-02-01,6.7995133
2023-03-01,7.2842307
2023-04-01,5.00211
2023-05-01,4.507558
2023-06-01,5.168356
2023-07-01,6.1061025
2023-08-01,7.4078226
2023-09-01,5.2733383
2023-10-01,5.0259256
2023-11-01,4.0482373
2023-12-01,4.1410966
2024-01-01,6.6334853
2024-02-01,7.016223
2024-03-01,6.0198197
2024-04-01,5.3126426
2024-05-01,4.3686557
2024-06-01,5.120868
2024-07-01,6.1135507
2024-08-01,6.8406644
2024-09-01,5.5725107
2024-10-01,5.3932176
2024-11-01,4.2603474
2024-12-01,5.25514
2025-01-01,6.4743547
2025-02-01,6.6713786
2025-03-01,6.150091
2025-04-01,5.0156426
2025-05-01,4.122448
2025-06-01,4.6278095
2025-07-01,6.3505945
2025-08-01,6.880926
2025-09-01,5.63147
2025-10-01,5.508757
2025-11-01,4.737419
2025-12-01,5.4599385
2026-01-01,5.531018
2026-02-01,7.3682365
2026-03-01,6.6008
